child_variety,parent_variety,parent_role,evidence_type,marker_type,n_markers,lod_score,study_reference,doi,confirmed_year,confidence_level,notes,all_dois,vivc_derived_from,vivc_primary_doi,vivc_unloaded_dois
JURANCON BLANC,PRUERAS,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,FOLLE BLANCHE X PRUERAS,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
JURANCON NOIR,FOLLE BLANCHE,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,FOLLE BLANCHE X COT,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
JURANCON NOIR,MALBEC,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,FOLLE BLANCHE X COT,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
KANDAHARI SAFID,KATTA-KOURGAN,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,KATTA-KOURGAN X SULTANINE,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
KANDAHARI SAFID,SULTANINE,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,KATTA-KOURGAN X SULTANINE,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
KANZLER,MUELLER THURGAU,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe & Emanuelli 2020; Lacombe 2013; Laucou 2018),10.1007/s00122-012-1988-2,,confirmed,MUELLER THURGAU X SYLVANER,10.1007/s00122-012-1988-2; 10.1371/journal.pone.0192540; 10.3389/fpls.2020.605934,Lacombe & Emanuelli 2020; Lacombe 2013; Laucou 2018,10.1007/s00122-012-1988-2,
KANZLER,SYLVANER,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe & Emanuelli 2020; Lacombe 2013; Laucou 2018),10.1007/s00122-012-1988-2,,confirmed,MUELLER THURGAU X SYLVANER,10.1007/s00122-012-1988-2; 10.1371/journal.pone.0192540; 10.3389/fpls.2020.605934,Lacombe & Emanuelli 2020; Lacombe 2013; Laucou 2018,10.1007/s00122-012-1988-2,
KARMRAHYUT,ADISI,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe 2013; Margaryan 2021),10.1007/s00122-012-1988-2,,confirmed,ADISI X PETIT BOUSCHET,10.1007/s00122-012-1988-2; 10.3390/biology10121279,Lacombe 2013; Margaryan 2021,10.1007/s00122-012-1988-2,
KARMRAHYUT,PETIT BOUSCHET,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe 2013; Margaryan 2021),10.1007/s00122-012-1988-2,,confirmed,ADISI X PETIT BOUSCHET,10.1007/s00122-012-1988-2; 10.3390/biology10121279,Lacombe 2013; Margaryan 2021,10.1007/s00122-012-1988-2,
KARMRASHAT,MUSCAT ROUGE DE MADERE,Parent 1,SSR,SSR,,,VIVC passport (via Margaryan 2021),10.3390/biology10121279,,confirmed,MUSCAT ROUGE DE MADERE X BOUSCHET PETIT,10.3390/biology10121279,Margaryan 2021,10.3390/biology10121279,
KARMRASHAT,BOUSCHET PETIT,Parent 2,SSR,SSR,,,VIVC passport (via Margaryan 2021),10.3390/biology10121279,,confirmed,MUSCAT ROUGE DE MADERE X BOUSCHET PETIT,10.3390/biology10121279,Margaryan 2021,10.3390/biology10121279,
KECSKEMETI IZES,POZSONYI FEHER,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,POZSONYI FEHER X HOSSZUNYELUE,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
KECSKEMETI IZES,HOSSZUNYELUE,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,POZSONYI FEHER X HOSSZUNYELUE,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
KECSKEMETI RIZLING,POZSONYI FEHER,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,POZSONYI FEHER X HOSSZUNYELUE,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
KECSKEMETI RIZLING,HOSSZUNYELUE,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,POZSONYI FEHER X HOSSZUNYELUE,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
KERNER,SCHIAVA GROSSA,Parent 1,SSR,SSR,,,VIVC passport (via Cipriani 2010; Lacombe & Emanuelli 2020; Lacombe 2013; Laucou 2018),10.1007/s00122-012-1988-2,,confirmed,SCHIAVA GROSSA X RIESLING RENANO,10.1007/s00122-010-1411-9; 10.1007/s00122-012-1988-2; 10.1371/journal.pone.0192540; 10.3389/fpls.2020.605934; 10.5073/vitis.1998.37.79-82,Cipriani 2010; Lacombe & Emanuelli 2020; Lacombe 2013; Laucou 2018,10.1007/s00122-010-1411-9,10.5073/vitis.1998.37.79-82
KERNER,RIESLING RENANO,Parent 2,SSR,SSR,,,VIVC passport (via Cipriani 2010; Lacombe & Emanuelli 2020; Lacombe 2013; Laucou 2018),10.1007/s00122-012-1988-2,,confirmed,SCHIAVA GROSSA X RIESLING RENANO,10.1007/s00122-010-1411-9; 10.1007/s00122-012-1988-2; 10.1371/journal.pone.0192540; 10.3389/fpls.2020.605934; 10.5073/vitis.1998.37.79-82,Cipriani 2010; Lacombe & Emanuelli 2020; Lacombe 2013; Laucou 2018,10.1007/s00122-010-1411-9,10.5073/vitis.1998.37.79-82
KHETUNI,HADISI,Parent 1,SSR,SSR,,,VIVC passport (via Margaryan 2021),10.3390/biology10121279,,confirmed,HADISI X VANKI,10.3390/biology10121279,Margaryan 2021,10.3390/biology10121279,
KHETUNI,VANKI,Parent 2,SSR,SSR,,,VIVC passport (via Margaryan 2021),10.3390/biology10121279,,confirmed,HADISI X VANKI,10.3390/biology10121279,Margaryan 2021,10.3390/biology10121279,
KHUSAINE KRASNYI,NEGRU MARE,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe & Emanuelli 2020; Lacombe 2013; Laucou 2018),10.1007/s00122-012-1988-2,,confirmed,NEGRU MARE X KHOUSSAINE BLANC,10.1007/s00122-012-1988-2; 10.1371/journal.pone.0192540; 10.3389/fpls.2020.605934,Lacombe & Emanuelli 2020; Lacombe 2013; Laucou 2018,10.1007/s00122-012-1988-2,
KHUSAINE KRASNYI,KHOUSSAINE BLANC,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe & Emanuelli 2020; Lacombe 2013; Laucou 2018),10.1007/s00122-012-1988-2,,confirmed,NEGRU MARE X KHOUSSAINE BLANC,10.1007/s00122-012-1988-2; 10.1371/journal.pone.0192540; 10.3389/fpls.2020.605934,Lacombe & Emanuelli 2020; Lacombe 2013; Laucou 2018,10.1007/s00122-012-1988-2,
KIBRAISKII,CHAOUCH BLANC,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,CHAOUCH BLANC X KICHMICH TCHERNI,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
KIBRAISKII,KICHMICH TCHERNI,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,CHAOUCH BLANC X KICHMICH TCHERNI,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
KINCSEM,MATHIASZ JANOSNE,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,MATHIASZ JANOSNE X KOEVIDINKA,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
KINCSEM,KOEVIDINKA,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,MATHIASZ JANOSNE X KOEVIDINKA,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
KISHMISH KHISHRAU,ANGOOR KALAN,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe 2013; Margaryan 2021),10.1007/s00122-012-1988-2,,confirmed,ANGOOR KALAN X KICHMICH TCHERNI,10.1007/s00122-012-1988-2; 10.20870/oeno-one.2021.55.4.4815; 10.3390/biology10121279,Lacombe 2013; Margaryan 2021,10.1007/s00122-012-1988-2,10.20870/oeno-one.2021.55.4.4815
KISHMISH KHISHRAU,KICHMICH TCHERNI,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe 2013; Margaryan 2021),10.1007/s00122-012-1988-2,,confirmed,ANGOOR KALAN X KICHMICH TCHERNI,10.1007/s00122-012-1988-2; 10.20870/oeno-one.2021.55.4.4815; 10.3390/biology10121279,Lacombe 2013; Margaryan 2021,10.1007/s00122-012-1988-2,10.20870/oeno-one.2021.55.4.4815
KISHMISH VATKANA,VASSARGA TCHERNAIA,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,VASSARGA TCHERNAIA X SULTANINE,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
KISHMISH VATKANA,SULTANINE,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,VASSARGA TCHERNAIA X SULTANINE,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
YAKDONA KIZYL,TAGOBI,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe & Emanuelli 2020; Lacombe 2013; Laucou 2018),10.1007/s00122-012-1988-2,,confirmed,TAGOBI X KHOUSSAINE BLANC,10.1007/s00122-012-1988-2; 10.1371/journal.pone.0192540; 10.3389/fpls.2020.605934,Lacombe & Emanuelli 2020; Lacombe 2013; Laucou 2018,10.1007/s00122-012-1988-2,
YAKDONA KIZYL,KHOUSSAINE BLANC,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe & Emanuelli 2020; Lacombe 2013; Laucou 2018),10.1007/s00122-012-1988-2,,confirmed,TAGOBI X KHOUSSAINE BLANC,10.1007/s00122-012-1988-2; 10.1371/journal.pone.0192540; 10.3389/fpls.2020.605934,Lacombe & Emanuelli 2020; Lacombe 2013; Laucou 2018,10.1007/s00122-012-1988-2,
KLADOVSKA BELA,PROKUPAC,Parent 1,SSR,SSR,,,VIVC passport (pedigree confirmed by markers),,,confirmed,PROKUPAC X PINOT NOIR,,none,,
KLADOVSKA BELA,PINOT NOIR,Parent 2,SSR,SSR,,,VIVC passport (pedigree confirmed by markers),,,confirmed,PROKUPAC X PINOT NOIR,,none,,
KNIPPERLE,PINOT,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,PINOT X HEUNISCH WEISS,10.1007/s00122-012-1988-2; 10.1126/science.285.5433.1562,Lacombe 2013,10.1007/s00122-012-1988-2,10.1126/science.285.5433.1562
KNIPPERLE,GOUAIS BLANC,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,PINOT X HEUNISCH WEISS,10.1007/s00122-012-1988-2; 10.1126/science.285.5433.1562,Lacombe 2013,10.1007/s00122-012-1988-2,10.1126/science.285.5433.1562
KOBER 5 BB,RESSEGUIER 2,Parent 1,SSR,SSR,,,VIVC passport (via Migliaro 2019),10.5344/ajev.2019.18054,,confirmed,RESSEGUIER 2 X GLOIRE DE MONTPELLIER,10.1007/s00122-019-03320-5; 10.5344/ajev.2019.18054,Migliaro 2019,10.1007/s00122-019-03320-5,10.1007/s00122-019-03320-5
KOBER 5 BB,RIPARIA GLOIRE DE MONTPELLIER,Parent 2,SSR,SSR,,,VIVC passport (via Migliaro 2019),10.5344/ajev.2019.18054,,confirmed,RESSEGUIER 2 X GLOIRE DE MONTPELLIER,10.1007/s00122-019-03320-5; 10.5344/ajev.2019.18054,Migliaro 2019,10.1007/s00122-019-03320-5,10.1007/s00122-019-03320-5
KOCSIS IRMA,EZEREVES MAGYARORSZAG EMLEKE,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,EZEREVES MAGYARORSZAG EMLEKE X THALLOCZY LAJOS,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
KOCSIS IRMA,THALLOCZY LAJOS,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,EZEREVES MAGYARORSZAG EMLEKE X THALLOCZY LAJOS,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
KOCSIS PAL SZILVANIJA,TOMPA MIHALY,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,TOMPA MIHALY X FURMINT,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
KOCSIS PAL SZILVANIJA,FURMINT,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,TOMPA MIHALY X FURMINT,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
KOCSIS SANDOR,HARSLEVELUE,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,HARSLEVELUE X MATHIASZ JANOSNE,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
KOCSIS SANDOR,MATHIASZ JANOSNE,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,HARSLEVELUE X MATHIASZ JANOSNE,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
KOENIGIN DER WEINGAERTEN,DATTIER DE BEYROUTH,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe & Emanuelli 2020; Lacombe 2013; Laucou 2018),10.1007/s00122-012-1988-2,,confirmed,DATTIER DE BEYROUTH  X PERLE VON CSABA,10.1007/s00122-012-1988-2; 10.1007/s11295-014-0746-9; 10.1371/journal.pone.0192540; 10.3103/S0095452718050031; 10.3389/fpls.2020.605934; 10.3390/genes11070737,Lacombe & Emanuelli 2020; Lacombe 2013; Laucou 2018,10.1007/s00122-012-1988-2,10.1007/s11295-014-0746-9; 10.3103/S0095452718050031; 10.3390/genes11070737
KOENIGIN DER WEINGAERTEN,PERLE VON CSABA,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe & Emanuelli 2020; Lacombe 2013; Laucou 2018),10.1007/s00122-012-1988-2,,confirmed,DATTIER DE BEYROUTH  X PERLE VON CSABA,10.1007/s00122-012-1988-2; 10.1007/s11295-014-0746-9; 10.1371/journal.pone.0192540; 10.3103/S0095452718050031; 10.3389/fpls.2020.605934; 10.3390/genes11070737,Lacombe & Emanuelli 2020; Lacombe 2013; Laucou 2018,10.1007/s00122-012-1988-2,10.1007/s11295-014-0746-9; 10.3103/S0095452718050031; 10.3390/genes11070737
KOKURDES BELYI,KOKUR BELYI,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,KOKUR BELYI X NOIR DE CRIMEE FAUX,10.1007/s00122-012-1988-2; 10.3390/plants10122696,Lacombe 2013,10.1007/s00122-012-1988-2,10.3390/plants10122696
KOKURDES BELYI,NOIR DE CRIMEE FAUX,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,KOKUR BELYI X NOIR DE CRIMEE FAUX,10.1007/s00122-012-1988-2; 10.3390/plants10122696,Lacombe 2013,10.1007/s00122-012-1988-2,10.3390/plants10122696
KOLKHURI,TEBRIZI,Parent 1,SSR,SSR,,,VIVC passport (pedigree confirmed by markers),,,confirmed,TEBRIZI X MUSCAT OF ALEXANDRIA,,none,,
KOLKHURI,MUSCAT OF ALEXANDRIA,Parent 2,SSR,SSR,,,VIVC passport (pedigree confirmed by markers),,,confirmed,TEBRIZI X MUSCAT OF ALEXANDRIA,,none,,
KOLOR,PINOT NOIR,Parent 1,SSR,SSR,,,VIVC passport (pedigree confirmed by markers),,,confirmed,PINOT NOIR X TEINTURIER,,none,,
KOLOR,TEINTURIER,Parent 2,SSR,SSR,,,VIVC passport (pedigree confirmed by markers),,,confirmed,PINOT NOIR X TEINTURIER,,none,,
KORAI GYOENGY,POZSONYI,Parent 1,SSR,SSR,,,VIVC passport (pedigree confirmed by markers),,,confirmed,POZSONYI X CSABA GYOENGYE,,none,,
KORAI GYOENGY,CSABA GYOENGYE,Parent 2,SSR,SSR,,,VIVC passport (pedigree confirmed by markers),,,confirmed,POZSONYI X CSABA GYOENGYE,,none,,
KOSOROTOVSKII,COARNA ALBA,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,COARNA ALBA X PLAVAI,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
KOSOROTOVSKII,PLAVAI,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,COARNA ALBA X PLAVAI,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
KOSOVSKA RANA,BOUVIER,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,BOUVIER X MUSCAT DE HAMBOURG,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
KOSOVSKA RANA,MUSCAT DE HAMBOURG,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,BOUVIER X MUSCAT DE HAMBOURG,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
KOSSUTH LAJOS,MADELEINE ANGEVINE,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,MADELEINE ANGEVINE X DIMIAT,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
KOSSUTH LAJOS,DIMIAT,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,MADELEINE ANGEVINE X DIMIAT,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
KOVACS KREGER,COARNA ALBA,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,COARNA ALBA X FURMINT,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
KOVACS KREGER,FURMINT,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,COARNA ALBA X FURMINT,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
KRASSOSTAFYLO,TORRONTES MENDOCINO,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,TORRONTES MENDOCINO X COT,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
KRASSOSTAFYLO,MALBEC,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,TORRONTES MENDOCINO X COT,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
KRESTOVSKII,KOZ OUZIOUM,Parent 1,SSR,SSR,,,VIVC passport (pedigree confirmed by markers),10.1134/S2635167622050135,,confirmed,KOZ OUZIOUM X ASYL KARA 2,10.1134/S2635167622050135,none,10.1134/S2635167622050135,10.1134/S2635167622050135
KRESTOVSKII,ASYL KARA 2,Parent 2,SSR,SSR,,,VIVC passport (pedigree confirmed by markers),10.1134/S2635167622050135,,confirmed,KOZ OUZIOUM X ASYL KARA 2,10.1134/S2635167622050135,none,10.1134/S2635167622050135,10.1134/S2635167622050135
KRKOCHIA PIRGAVA,ALBA IMPUTATO,Parent 1,SSR,SSR,,,VIVC passport (pedigree confirmed by markers),10.5073/vitis.2015.54.79-86,,confirmed,ALBA IMPUTATO X HEUNISCH WEISS,10.5073/vitis.2015.54.79-86,none,10.5073/vitis.2015.54.79-86,10.5073/vitis.2015.54.79-86
KRKOCHIA PIRGAVA,GOUAIS BLANC,Parent 2,SSR,SSR,,,VIVC passport (pedigree confirmed by markers),10.5073/vitis.2015.54.79-86,,confirmed,ALBA IMPUTATO X HEUNISCH WEISS,10.5073/vitis.2015.54.79-86,none,10.5073/vitis.2015.54.79-86,10.5073/vitis.2015.54.79-86
KRSTICEVICA,PLAVINA,Parent 1,SSR,SSR,,,VIVC passport (pedigree confirmed by markers),10.3390/genes11070737,,confirmed,PLAVINA X BOMBINO BIANCO,10.3390/genes11070737,none,10.3390/genes11070737,10.3390/genes11070737
KRSTICEVICA,BOMBINO BIANCO,Parent 2,SSR,SSR,,,VIVC passport (pedigree confirmed by markers),10.3390/genes11070737,,confirmed,PLAVINA X BOMBINO BIANCO,10.3390/genes11070737,none,10.3390/genes11070737,10.3390/genes11070737
KUMSHATSKII CHERNYI,BURYI 2,Parent 1,SSR,SSR,,,VIVC passport (pedigree confirmed by markers),10.1134/S2635167622050135,,confirmed,BURYI 2 X TSIMLYANSKIY CHERNYI,10.1134/S2635167622050135,none,10.1134/S2635167622050135,10.1134/S2635167622050135
KUMSHATSKII CHERNYI,TSIMLYANSKIY CHERNYI,Parent 2,SSR,SSR,,,VIVC passport (pedigree confirmed by markers),10.1134/S2635167622050135,,confirmed,BURYI 2 X TSIMLYANSKIY CHERNYI,10.1134/S2635167622050135,none,10.1134/S2635167622050135,10.1134/S2635167622050135
KUNBARAT,KOLEDA 28/19,Parent 1,SSR,SSR,,,VIVC passport (pedigree confirmed by markers),10.5073/vitis.2020.59.91-92,,confirmed,KOLEDA 28/19 X AFUS ALI,10.5073/vitis.2020.59.91-92,none,10.5073/vitis.2020.59.91-92,10.5073/vitis.2020.59.91-92
KUNBARAT,AFUS ALI,Parent 2,SSR,SSR,,,VIVC passport (pedigree confirmed by markers),10.5073/vitis.2020.59.91-92,,confirmed,KOLEDA 28/19 X AFUS ALI,10.5073/vitis.2020.59.91-92,none,10.5073/vitis.2020.59.91-92,10.5073/vitis.2020.59.91-92
KUNLEANY,KOLEDA 28/19),Parent 1,SSR,SSR,,,VIVC passport (pedigree confirmed by markers),10.5073/vitis.2020.59.91-92,,confirmed,KOLEDA 28/19) X AFUS ALI,10.5073/vitis.2020.59.91-92,none,10.5073/vitis.2020.59.91-92,10.5073/vitis.2020.59.91-92
KUNLEANY,AFUS ALI,Parent 2,SSR,SSR,,,VIVC passport (pedigree confirmed by markers),10.5073/vitis.2020.59.91-92,,confirmed,KOLEDA 28/19) X AFUS ALI,10.5073/vitis.2020.59.91-92,none,10.5073/vitis.2020.59.91-92,10.5073/vitis.2020.59.91-92
KURTELASKA,BOMBINO BIANCO,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,BOMBINO BIANCO X MOSTOSA = EMPIBOTTE BIANCO,10.1007/s00122-012-1988-2; 10.3390/genes11070737,Lacombe 2013,10.1007/s00122-012-1988-2,10.3390/genes11070737
KURTELASKA,MOSTOSA = EMPIBOTTE BIANCO,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,BOMBINO BIANCO X MOSTOSA = EMPIBOTTE BIANCO,10.1007/s00122-012-1988-2; 10.3390/genes11070737,Lacombe 2013,10.1007/s00122-012-1988-2,10.3390/genes11070737
KURTSEIT AGANYN IZYUM,TASCHLY,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,TASCHLY X SCHABASCHE,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
KURTSEIT AGANYN IZYUM,SCHABASCHE,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,TASCHLY X SCHABASCHE,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
KUTLAKSKII CHERNYI,TOLSTOKORII,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,TOLSTOKORII X VIGNE DE WOOD,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
KUTLAKSKII CHERNYI,VIGNE DE WOOD,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,TOLSTOKORII X VIGNE DE WOOD,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
KUTUZOVSKII,COARNA NEAGRA,Parent 1,SSR,SSR,,,VIVC passport (via Margaryan 2021),10.3390/biology10121279,,confirmed,COARNA NEAGRA X DATTIER DE ST. VALLIER,10.3390/biology10121279,Margaryan 2021,10.3390/biology10121279,
KUTUZOVSKII,DATTIER DE ST. VALLIER,Parent 2,SSR,SSR,,,VIVC passport (via Margaryan 2021),10.3390/biology10121279,,confirmed,COARNA NEAGRA X DATTIER DE ST. VALLIER,10.3390/biology10121279,Margaryan 2021,10.3390/biology10121279,
LA ROCHELLE,BARLINKA,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,BARLINKA X ALPHONSE LAVALLEE,10.1007/s00122-012-1988-2; 10.21548/39-1-2053,Lacombe 2013,10.1007/s00122-012-1988-2,10.21548/39-1-2053
LA ROCHELLE,ALPHONSE LAVALLEE,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,BARLINKA X ALPHONSE LAVALLEE,10.1007/s00122-012-1988-2; 10.21548/39-1-2053,Lacombe 2013,10.1007/s00122-012-1988-2,10.21548/39-1-2053
LACRIMA,ALEATICO,Parent 1,SSR,SSR,,,VIVC passport (pedigree confirmed by markers),10.20870/oeno-one.2021.55.3.4628,,confirmed,ALEATICO X NERA RADA,10.20870/oeno-one.2021.55.3.4628,none,10.20870/oeno-one.2021.55.3.4628,10.20870/oeno-one.2021.55.3.4628
LACRIMA,NERA RADA,Parent 2,SSR,SSR,,,VIVC passport (pedigree confirmed by markers),10.20870/oeno-one.2021.55.3.4628,,confirmed,ALEATICO X NERA RADA,10.20870/oeno-one.2021.55.3.4628,none,10.20870/oeno-one.2021.55.3.4628,10.20870/oeno-one.2021.55.3.4628
LACRIMA DI MARIA,GRAECO,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe & Emanuelli 2020; Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,GRAECO X HEPTAKILO,10.1007/s00122-012-1988-2; 10.3389/fpls.2020.605934,Lacombe & Emanuelli 2020; Lacombe 2013,10.1007/s00122-012-1988-2,
LACRIMA DI MARIA,HEPTAKILO,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe & Emanuelli 2020; Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,GRAECO X HEPTAKILO,10.1007/s00122-012-1988-2; 10.3389/fpls.2020.605934,Lacombe & Emanuelli 2020; Lacombe 2013,10.1007/s00122-012-1988-2,
