unresolved_name,n_sources,tier,suggested_canonical,all_candidates,sources_referencing,synonyms_from_sources,grin_accession_id,action,notes
MACABEO,1,tier1,MACABEO NEGRO,MACABEO NEGRO,vivc confirmed,,,,
MANTONICO NERO,1,tier1,MANTONICO NERO INZENGA,MANTONICO NERO INZENGA,lac emanuelli 2020,,,,
MISSION,1,tier1,MISSION MALE,MISSION MALE,vivc confirmed,,,,
MUSCATE,1,tier1,MUSCATEDDU,MUSCATEDDU,vivc confirmed,,,,
MUSKATELLER GELB,1,tier1,MUSKATELLER GELBER,MUSKATELLER GELBER,vivc confirmed,,,,
NIABELL,1,tier1,NIABELL (4N),NIABELL (4N),ssr oliveira,,,,
PELOURSIN N,1,tier1,PELOURSIN NOIR,PELOURSIN NOIR,vivc confirmed,,,,
PIROVANO 59,1,tier1,PIROVANO 595,PIROVANO 595,vivc confirmed,,,,
PIROVANO 60,1,tier1,PIROVANO 604,PIROVANO 604,vivc confirmed,,,,
PLAVAI,1,tier1,PLAVAIE,PLAVAIE,vivc confirmed,,,,
RAZAKLIJA,1,tier1,RAZAKLIJA CRNA,RAZAKLIJA CRNA,vivc confirmed,,,,
SULTANINA BIANCA,1,tier1,SULTANINA BIANCA DI RODI,SULTANINA BIANCA DI RODI,vivc confirmed,,,,
UVA DI TROJA,1,tier1,UVA DI TROJANERO,UVA DI TROJANERO,vivc confirmed,,,,
VITIS BERLANDIERI,1,tier1,VITIS BERLANDIERI PLANCHON,VITIS BERLANDIERI PLANCHON,ssr oliveira,,,,
VITIS CALIFORNICA,1,tier1,VITIS CALIFORNICA BENTHAM,VITIS CALIFORNICA BENTHAM,vivc confirmed,,,,
VITIS CANDICANS,1,tier1,VITIS CANDICANS ENGELMANN,VITIS CANDICANS ENGELMANN,ssr oliveira,,,,
VITIS CINEREA,1,tier1,VITIS CINEREA ENGELMANN VAR. CINEREA,VITIS CINEREA ENGELMANN VAR. CINEREA,ssr oliveira,,,,
VITIS DOANIANA,1,tier1,VITIS DOANIANA MUNSON,VITIS DOANIANA MUNSON,ssr oliveira,,,,
VITIS GIRDIANA,1,tier1,VITIS GIRDIANA MUNSON,VITIS GIRDIANA MUNSON,ssr oliveira,,,,
VITIS MONTICOLA,1,tier1,VITIS MONTICOLA BUCKLEY,VITIS MONTICOLA BUCKLEY,ssr oliveira,,,,
VITIS SHUTTLEWORTHII,1,tier1,VITIS SHUTTLEWORTHII HOUSE,VITIS SHUTTLEWORTHII HOUSE,ssr oliveira,,,,
VITOUSKA,1,tier1,VITOUSKA GARGANIJA,VITOUSKA GARGANIJA,lac emanuelli 2020,,,,
YALOVA CEKIRDEKSIZ,1,tier1,YALOVA CEKIRDEKSIZI,YALOVA CEKIRDEKSIZI,lacombe 2013,,,,
ZAGARESE,1,tier1,ZAGARESE DI PUGLIA,ZAGARESE DI PUGLIA,lac emanuelli 2020,,,,
TEMPRANILLO,6,tier2,TEMPRANILLO TINTO,TEMPRANILLO TINTO | TEMPRANILLO GRIS | TEMPRANILLO BLANCO,marker support; vivc confirmed; oliveira 2020; lac emanuelli 2020; laucou 2018; ssr oliveira,,,,
CHASSELAS,5,tier2,CHASSELAS ROSE,CHASSELAS ROSE | CHASSELAS ROUGE | CHASSELAS CIOUTAT | CHASSELAS DES BOUCHES DU RHONE | CHASSELAS BLANC | CHASSELAS VIOLET | CHASSELAS QUEEN VICTORIA | CHASSELAS BABO | CHASSELAS MUSQUE | CHASSELAS OBERLIN,vivc confirmed; lacombe 2013; lac emanuelli 2020; laucou 2018; ssr lacombe,,,,
ELBLING,5,tier2,ELBLING BLAU,ELBLING BLAU | ELBLING ROT | ELBLING WEISS | ELBLING SCHWARZ | ELBLING WEISS (4N),vivc confirmed; lacombe 2013; lac emanuelli 2020; laucou 2018; ssr lacombe,,,,
SULTANINE,5,tier2,SULTANINE MONOCOCCO,SULTANINE MONOCOCCO | SULTANINE NOIRE FAUX | SULTANINE ROSE (NON IDENTIFIED),vivc confirmed; lacombe 2013; laucou 2018; liang 2019; ssr lacombe,,,,
LOUREIRO,4,tier2,LOUREIRO BLANCO,LOUREIRO BLANCO | LOUREIRO BRAVO | LOUREIRO TINTO,lacombe 2013; lac emanuelli 2020; laucou 2018; ssr lacombe,,,,
MAUZAC,4,tier2,MAUZAC BLANC,MAUZAC BLANC | MAUZAC ROSE | MAUZAC FAUX DE CAHUZAC | MAUZAC NOIR DU LOT ET GARONNE,vivc confirmed; lacombe 2013; laucou 2018; ssr lacombe,,,,
NEGRU MARE,4,tier2,NEGRU MARE DE GHIRODA,NEGRU MARE DE GHIRODA | NEGRU MARE (QUESTIONABLE),vivc confirmed; lacombe 2013; laucou 2018; ssr lacombe,,,,
TRESSOT,4,tier2,TRESSOT NOIR,TRESSOT NOIR | TRESSOT BLANC | TRESSOT PANACHE | TRESSOT PANACHE (NON IDENTIFIED),vivc confirmed; lacombe 2013; laucou 2018; ssr lacombe,,,,
AESTIVALIS,3,tier2,AESTIVALIS GF 01,AESTIVALIS GF 01 | AESTIVALIS GF 02 | AESTIVALIS GF 03 | AESTIVALIS GF 04 | AESTIVALIS GF 05 | AESTIVALIS GF 06 | AESTIVALIS GF 07 | AESTIVALIS GF 08 | AESTIVALIS GF 09 | AESTIVALIS GF 10,vivc confirmed; oliveira 2020; liang 2019,,,,
BALOUTI,3,tier2,BALOUTI (ABBAYE DE LATROUN),BALOUTI (ABBAYE DE LATROUN) | BALOUTI X MUSCAT HAMBURG,vivc confirmed; lacombe 2013; ssr lacombe,,,,
CAMARATE,3,tier2,CAMARATE TINTO,CAMARATE TINTO | CAMARATE VERMELHO,vivc confirmed; lac emanuelli 2020; laucou 2018,,,,
CLAIRETTE,3,tier2,CLAIRETTE MAZEL,CLAIRETTE MAZEL | CLAIRETTE BLANCHE | CLAIRETTE ROSE | CLAIRETTE B. NICE | CLAIRETTE POINSEAU | CLAIRETTE AMERICAINE | CLAIRETTE BELDI 3612 | CLAIRETTE RESISTANTE | CLAIRETTE DOREE GANZIN | CLAIRETTE A GROS GRAINS,vivc confirmed; lacombe 2013; ssr lacombe,,,,
COURBU,3,tier2,COURBU BLANC,COURBU BLANC | COURBU NOIR | COURBU PETIT,vivc confirmed; lacombe 2013; ssr lacombe,,,,
GOHER,3,tier2,GOHER PIROS,GOHER PIROS | GOHER VALTOZO,lacombe 2013; laucou 2018; ssr lacombe,,,,
GROS VERT,3,tier2,GROS VERT NOIR,GROS VERT NOIR | GROS VERT BLANC,vivc confirmed; lacombe 2013; ssr lacombe,,,,
ORLOVI NOKTI,3,tier2,ORLOVI NOKTI BELI,ORLOVI NOKTI BELI | ORLOVI NOKTI CERNI,lacombe 2013; laucou 2018; ssr lacombe,,,,
PASCAL,3,tier2,PASCALE DI CAGLIARI,PASCALE DI CAGLIARI | PASCAL BLANC,vivc confirmed; lacombe 2013; ssr lacombe,,,,
POULSARD,3,tier2,POULSARD NOIR,POULSARD NOIR | POULSARD ROSE | POULSARD BLANC | POULSARD ROUGE | POULSARD NOIR MUSQUE,vivc confirmed; lacombe 2013; ssr lacombe,,,,
ROYAL,3,tier2,ROYALTY,ROYALTY | ROYAL MOLENBERG | ROYAL VINEYARD | ROYALNY | ROYAL LATE | ROYAL ASCOT | ROYAL EMILE | ROYAL SWEET | ROYAL MOLLEKES | ROYAL SEEDLESS,vivc confirmed; lacombe 2013; ssr lacombe,,,,
SAUVIGNON,3,tier2,SAUVIGNON BLANC,SAUVIGNON BLANC | SAUVIGNON PICCOLO FAUX | SAUVIGNON GRIS | SAUVIGNON CITA | SAUVIGNON GRYN | SAUVIGNON NOIR | SAUVIGNON SARY | SAUVIGNON NEPIS | SAUVIGNON ROUGE | SAUVIGNON RYTOS,vivc confirmed; lacombe 2013; ssr lacombe,,,,
TERRET,3,tier2,TERRET BOUSCHET,TERRET BOUSCHET | TERRET BLANC | TERRET GRIS | TERRET NOIR,vivc confirmed; lacombe 2013; ssr lacombe,,,,
ALICANTE BOUSCHET,2,tier2,ALICANTE BOUSCHET 7,ALICANTE BOUSCHET 7 | ALICANTE BOUSCHET TARDIF | ALICANTE BOUSCHET X PIQUEPOUL GRIS 8 | ALICANTE BOUSCHET X PIQUEPOUL GRIS 9 | ALICANTE BOUSCHET 1 | ALICANTE BOUSCHET 2 | ALICANTE BOUSCHET 12 | ALICANTE BOUSCHET 13 | ALICANTE BOUSCHET PRECOCE | ALICANTE BOUSCHET EXTRA FERTILE,vivc confirmed; lac emanuelli 2020,,,,
AUBIN,2,tier2,AUBIN VERT,AUBIN VERT | AUBIN BLANC,lacombe 2013; ssr lacombe,,,,
AZAL,2,tier2,AZAL AZEDO,AZAL AZEDO | AZAL DOCE | AZAL ABERTO | AZAL BRANCO | AZAL FECHADO | AZAL ESPANHOL | AZAL SANTO TIRSO,vivc confirmed; lacombe 2013,,,,
BRAGHINA,2,tier2,BRAGHINA ALBA,BRAGHINA ALBA | BRAGHINA ROSIE,lac emanuelli 2020; laucou 2018,,,,
CAINHO,2,tier2,CAINHO DA TERRA,CAINHO DA TERRA | CAINHO PRETO,lac emanuelli 2020; laucou 2018,,,,
DIMRIT,2,tier2,DIMRIT KARA,DIMRIT KARA | DIMRIT UFAK | DIMRIT BEYAZ | DIMRIT CATAL | DIMRIT ROUGE,vivc confirmed; laucou 2018,,,,
FORTANA,2,tier2,FORTANA CAB,FORTANA CAB | FORTANA NERA | FORTANA BIANCA,vivc confirmed; lac emanuelli 2020,,,,
KORINTHIAKI,2,tier2,KORINTHIAKI LEFKI,KORINTHIAKI LEFKI | KORINTHIAKI MAVRO | KORINTHIAKI KOKKINO,vivc confirmed; lac emanuelli 2020,,,,
MAGLIOCCO,2,tier2,MAGLIOCCO TURI,MAGLIOCCO TURI | MAGLIOCCO DOLCE | MAGLIOCCO CANINO,lacombe 2013; ssr lacombe,,,,
NEGRA MOLE,2,tier2,NEGRA MOLE BRANCA,NEGRA MOLE BRANCA | NEGRA MOLE RASTEIRA | NEGRA MOLE TREPADEIRA | NEGRA MOLE ENCARRAPITUDE,vivc confirmed; laucou 2018,,,,
PIQUEPOUL,2,tier2,PIQUEPOUL BOUSCHET,PIQUEPOUL BOUSCHET | PIQUEPOUL GRIS | PIQUEPOUL NOIR | PIQUEPOUL BLANC | PIQUEPOUL BLANC FAUX,vivc confirmed; lacombe 2013,,,,
SAVAGNIN,2,tier2,SAVAGNIN BLANC,SAVAGNIN BLANC | SAVAGNIN ROSE,vivc confirmed; lac emanuelli 2020,,,,
TETA DE VACA,2,tier2,TETA DE VACA TINTA,TETA DE VACA TINTA | TETA DE VACA BLANCA,vivc confirmed; lacombe 2013,,,,
TOPAZ,2,tier2,TOPAZE,TOPAZE | TOPAZ (3N),liang 2019; ssr oliveira,,,,
3,1,tier2,3138,3138 | 301-1 (4N),lacombe 2013,,,,
AGLIANICO ANTICO,1,tier2,AGLIANICO ANTICO TITO,AGLIANICO ANTICO TITO | AGLIANICO ANTICO MASCHITO,lac emanuelli 2020,,,,
ARAMON N,1,tier2,ARAMON NOIR,ARAMON NOIR | ARAMON NOIR A FEUILLES COTONNEUSES,vivc confirmed,,,,
BACO 1,1,tier2,BACO 10-A,BACO 10-A | BACO 10-B | BACO 15-A | BACO 16-B | BACO 18-B | BACO 11-10 | BACO 13-14 | BACO 13-15 | BACO 17-16 | BACO 19- 28,ssr oliveira,,,,
BARESANA,1,tier2,BARESANA NERA,BARESANA NERA | BARESANA ROSA,vivc confirmed,,,,
BERLANDIERI RESSEGUIER,1,tier2,BERLANDIERI RESSEGUIER 1,BERLANDIERI RESSEGUIER 1 | BERLANDIERI RESSEGUIER 2 | BERLANDIERI RESSEGUIER 3 | BERLANDIERI RESSEGUIER 4 | BERLANDIERI RESSEGUIER 5 | BERLANDIERI RESSEGUIER 6 | BERLANDIERI RESSEGUIER 7 | BERLANDIERI RESSEGUIER 8 | BERLANDIERI RESSEGUIER 9 | BERLANDIERI RESSEGUIER 13,vivc confirmed,,,,
BLANC,1,tier2,BLANCA NIEVE,BLANCA NIEVE | BLANC D'AMBRE | BLANC DE RHAFSAI | BLANC AUBA | BLANCA OVAL | BLANCHARD 2 | BLANC D'IRAN | BLANCA CHICA | BLANCHARD 1 B | BLANCA,lacombe 2013,,,,
CANAIOLO,1,tier2,CANAIOLO NERO,CANAIOLO NERO | CANAIOLO ROSA,ssr oliveira,,,,
CASCAROLO,1,tier2,CASCAROLO NERO,CASCAROLO NERO | CASCAROLO BIANCO,lac emanuelli 2020,,,,
COARNA ALB,1,tier2,COARNA ALBA,COARNA ALBA | COARNA ALBA AROMATA,vivc confirmed,,,,
CODA DI VOLPE,1,tier2,CODA DI VOLPE BIANCA,CODA DI VOLPE BIANCA | CODA DI VOLPE DI LABICO | CODA DI VOLPE DI VERMENTINO | CODA DI VOLPE BLANCHE DE LAPIO,ssr oliveira,,,,
CORVINA VERONE,1,tier2,CORVINA VERONESE,CORVINA VERONESE | CORVINA VERONESE (NON IDENTIFIED),ssr oliveira,,,,
COUDERC,1,tier2,COUDERC 3309,COUDERC 3309 | COUDERC 3 | COUDERC 1202 | COUDERC 1613 | COUDERC 1616 | COUDERC 3306 | COUDERC 161- 49 | COUDERC 2 | COUDERC 13 | COUDERC 17,liang 2019,,,,
COUDERC 1,1,tier2,COUDERC 1202,COUDERC 1202 | COUDERC 1613 | COUDERC 1616 | COUDERC 161- 49 | COUDERC 13 | COUDERC 17 | COUDERC 1617 | COUDERC 1616 E | COUDERC 157- 11 | COUDERC 1203,ssr oliveira,,,,
GEILWEILERHOF V.,1,tier2,GEILWEILERHOF V. 348,GEILWEILERHOF V. 348 | GEILWEILERHOF V. 1271 | GEILWEILERHOF V. 1576 | GEILWEILERHOF V. 1623 | GEILWEILERHOF V. 3125,ssr migliaro,,,,
JURANCON,1,tier2,JURANCON NOIR,JURANCON NOIR | JURANCON BLANC,vivc confirmed,,,,
LAMBRUSCO,1,tier2,LAMBRUSCO MAESTRI,LAMBRUSCO MAESTRI | LAMBRUSCO D'GERMAN | LAMBRUSCO DI FIORANO | LAMBRUSCO MONTERICCO | LAMBRUSCO GRASPAROSSA | LAMBRUSCO OLIVA | LAMBRUSCO BARGHI | LAMBRUSCO MAIOLO | LAMBRUSCO MARANI | LAMBRUSCO BENETTI,ssr oliveira,,,,
LISTAN,1,tier2,LISTAN NEGRO,LISTAN NEGRO | LISTAN PRIETO | LISTAN 1495 | LISTAN ROSA | LISTAN GACHO | LISTAN BRANAS | LISTAN DE PAXERETE | LISTAN PRIETO FLORAL MUTANT,vivc confirmed,,,,
MARTE,1,tier2,MARTELLATA NERA,MARTELLATA NERA | MARTELLATA BIANCA,ssr oliveira,,,,
MATHIASZ JANOS,1,tier2,MATHIASZ JANOSNE,MATHIASZ JANOSNE | MATHIASZ JANOS EMLEKE | MATHIASZ JANOS DIADALA | MATHIASZ JANOS IZLETESE | MATHIASZ JANOS MUSKOTALY,vivc confirmed,,,,
MATURANO,1,tier2,MATURANO BIANCO,MATURANO BIANCO | MATURANO NERO,lac emanuelli 2020,,,,
MAVROUD,1,tier2,MAVROUD MK 4,MAVROUD MK 4 | MAVROUDA | MAVROUDI | MAVROUDIA | MAVROUDI PILIOU | MAVROUDI SYRIANO | MAVROUDI ARACHOVIS | MAVROUDI CHONDRO KALAVRYTON,vivc confirmed,,,,
MOLL,1,tier2,MOLLAR CANO,MOLLAR CANO | MOLLAR DE ICA | MOLLAH | MOLLIM | MOLLARD | MOLLA EHMEDI | MOLLAR CANO ROSADO | MOLLAR DO CHORINCAS,laucou 2018,,,,
MONICA,1,tier2,MONICA NERA,MONICA NERA | MONICA FEMELLE,lac emanuelli 2020,,,,
MUELLER THURGAU,1,tier2,MUELLER THURGAU WEISS,MUELLER THURGAU WEISS | MUELLER THURGAU ROT | MUELLER THURGAU WEISS (4N),vivc confirmed,,,,
MUSCA,1,tier2,MUSCAT OTTONEL,MUSCAT OTTONEL | MUSCAT HAMBURG | MUSCAT OF ALEXANDRIA | MUSCADELLE | MUSCAT A PETITS GRAINS BLANCS | MUSCAT FLEUR D'ORANGER | MUSCAT MIKVEH | MUSCAT LIERVAL | MUSCAT BOUSCHET | MUSCAT SEEDLESS,ssr oliveira,,,,
MUSCAT,1,tier2,MUSCAT OTTONEL,MUSCAT OTTONEL | MUSCAT HAMBURG | MUSCAT OF ALEXANDRIA | MUSCAT A PETITS GRAINS BLANCS | MUSCAT FLEUR D'ORANGER | MUSCAT MIKVEH | MUSCAT LIERVAL | MUSCAT BOUSCHET | MUSCAT SEEDLESS | MUSCAT LASERELLE,vivc confirmed,,,,
MUSCAT A PETITS GRAINS,1,tier2,MUSCAT A PETITS GRAINS BLANCS,MUSCAT A PETITS GRAINS BLANCS | MUSCAT A PETITS GRAINS NOIRS | MUSCAT A PETITS GRAINS ROSES | MUSCAT A PETITS GRAINS ROUGES | MUSCAT A PETITS GRAINS BLANCS SEEDLESS,vivc confirmed,,,,
NIMRANG,1,tier2,NIMRANG KARA,NIMRANG KARA | NIMRANG KRASNYI | NIMRANG MAGARACHA,vivc confirmed,,,,
OLIVETTE BLANC,1,tier2,OLIVETTE BLANCHE,OLIVETTE BLANCHE | OLIVETTE BLANCHE (4N),vivc confirmed,,,,
PERERA,1,tier2,PERERA GIALLA,PERERA GIALLA | PERERA (VALDOBBIADENE),vivc confirmed,,,,
PIROVANO 2,1,tier2,PIROVANO 20,PIROVANO 20 | PIROVANO 21 | PIROVANO 22 | PIROVANO 23 | PIROVANO 24 | PIROVANO 25 | PIROVANO 26 | PIROVANO 28 | PIROVANO 29 | PIROVANO 217,vivc confirmed,,,,
PIZZUTELLO,1,tier2,PIZZUTELLO NERO,PIZZUTELLO NERO | PIZZUTELLO DI GATINARA | PIZZUTELLO MOSCATO BIONDO,liang 2019,,,,
PORTUGIESER,1,tier2,PORTUGIESER BLAU,PORTUGIESER BLAU | PORTUGIESER GRAU | PORTUGIESER ROT | PORTUGIESER GRUEN | PORTUGIESER BLAU (4N) | PORTUGIESER FRUEH BLAU | PORTUGIESER X RIESLING,vivc confirmed,,,,
QUIEBRATINAJAS,1,tier2,QUIEBRATINAJAS TINTO,QUIEBRATINAJAS TINTO | QUIEBRATINAJAS ROJO,laucou 2018,,,,
RAJABI,1,tier2,RAJABI SIAH,RAJABI SIAH | RAJABI SAFID | RAJABI GERMEZ,vivc confirmed,,,,
REGINA,1,tier2,REGINA VIEI,REGINA VIEI | REGINA NEGRA,vivc confirmed,,,,
RIBOLLA,1,tier2,RIBOLLA GIALLA,RIBOLLA GIALLA | RIBOLLA R17 | RIBOLLA R24,ssr oliveira,,,,
SCHIRAS,1,tier2,SCHIRAS DR. HOUDBINE,SCHIRAS DR. HOUDBINE | SCHIRASTRAUBE | SCHIRASTRAUBE (4N),vivc confirmed,,,,
SEIBEL 60,1,tier2,SEIBEL 600,SEIBEL 600 | SEIBEL 601 | SEIBEL 603 | SEIBEL 604 | SEIBEL 605 | SEIBEL 606 | SEIBEL 607 | SEIBEL 608 | SEIBEL 609 | SEIBEL 6022,ssr oliveira,,,,
SEKIREI,1,tier2,SEKIREI 4,SEKIREI 4 | SEKIREI 6,liang 2019,,,,
SEYVAL,1,tier2,SEYVAL BLANC,SEYVAL BLANC | SEYVAL NOIR,vivc confirmed,,,,
SOMARELLO,1,tier2,SOMARELLO NERO,SOMARELLO NERO | SOMARELLO ROSSO,lac emanuelli 2020,,,,
TREBBIANO,1,tier2,TREBBIANO TOSCANO,TREBBIANO TOSCANO | TREBBIANO ANTICO | TREBBIANO NERO | TREBBIANO DORATO | TREBBIANO GIALLO | TREBBIANO EMILIANO | TREBBIANO MODENESE | TREBBIANO PERUGINO | TREBBIANO ABRUZZESE | TREBBIANO ROMAGNOLO,ssr oliveira,,,,
VALENTINO,1,tier2,VALENTINO NERO,VALENTINO NERO | VALENTINO BIANCO,lac emanuelli 2020,,,,
VELTLINER,1,tier2,VELTLINER ROT,VELTLINER ROT | VELTLINER FRUEHROT | VELTLINER ROT X ELBLING | VELTLINER GRAU | VELTLINER BRAUN | VELTLINER GRUEN | VELTLINER SOLIS | VELTLINER SIGNUM | VELTLINER STELLA | VELTLINER ROTWEISS,lac emanuelli 2020,,,,
VERDOT,1,tier2,VERDOT GRIS,VERDOT GRIS | VERDOT GROS | VERDOT BLANC | VERDOT PETIT,vivc confirmed,,,,
VITIS AMURENSIS,1,tier2,VITIS AMURENSIS RUPRECHT,VITIS AMURENSIS RUPRECHT | VITIS AMURENSIS (NON IDENTIFIED),ssr oliveira,,,,
VITIS LABRUSCA,1,tier2,VITIS LABRUSCA LINNE,VITIS LABRUSCA LINNE | VITIS LABRUSCA VAR. BLANDA G. DON | VITIS LABRUSCA VAR. LABRUSCOIDES EATON,vivc confirmed,,,,
ZIBIBBO,1,tier2,ZIBIBBO D'ARQUATA,ZIBIBBO D'ARQUATA | ZIBIBBO BIANCO DI CALTANISSETTA,vivc confirmed,,,,
ZWEIGELT,1,tier2,ZWEIGELTREBE BLAU,ZWEIGELTREBE BLAU | ZWEIGELT SOLIS | ZWEIGELT SIGNUM | ZWEIGELT STELLA,laucou 2018,,,,
ALFROCHEIRO PRETO,5,tier3,ALFROCHEIRO,ALFROCHEIRO | PRETO CARDANA | PRETO MARTINHO | BOAL PRETO | CRATO PRETO | DOCAR PRETO | CAINHO PRETO | PERRUM PRETO | CACHUDO PRETO | CASTICO PRETO,vivc confirmed; lacombe 2013; lac emanuelli 2020; laucou 2018; ssr lacombe,,,,
KICHMICH TCHERNI,5,tier3,KARA KICHMICH OVROUT,KARA KICHMICH OVROUT,vivc confirmed; lacombe 2013; lac emanuelli 2020; laucou 2018; ssr lacombe,,,,
MUSCAT D'ALEXANDRIE,5,tier3,MUSCAT OTTONEL,MUSCAT OTTONEL | MUSCAT HAMBURG | EARLY MUSCAT | GOLDEN MUSCAT | MUSCAT OF ALEXANDRIA | MUSCAT A PETITS GRAINS BLANCS | NEW YORK MUSCAT | MUSCAT FLEUR D'ORANGER | MUSCAT MIKVEH | MUSCAT LIERVAL,vivc confirmed; lacombe 2013; oliveira 2020; laucou 2018; ssr lacombe,,,,
AETONYCHI MAVRO,4,tier3,MOSCHATO MAVRO,MOSCHATO MAVRO | AITONYCHI MAVRO | AIDANI MAVRO | SANI MAVRO | MAVRO KYMIS | ATHIRI MAVRO | HIMERO MAVRO | MARONI MAVRO | MAVRO ROGKAS | RAZAKI MAVRO,lacombe 2013; lac emanuelli 2020; laucou 2018; ssr lacombe,,,,
ARINTO DO DÃO,4,tier3,ARINTO,ARINTO | ARINTO ROXO | ARINTO DE COLARES | ARINTO DOS ACORES | ARINTO DO INTERIOR,lacombe 2013; lac emanuelli 2020; laucou 2018; ssr lacombe,,,,
ASSOUAD KARECH,4,tier3,ASMI ASSOUAD,ASMI ASSOUAD | ASSWAD KARECH | SEBAI ASSOUAD,vivc confirmed; lac emanuelli 2020; laucou 2018; ssr lacombe,,,,
