child_variety,vivc_no,source_code,author,year,title,doi,n_loci
CRNA LOZA,26521,40879,"MARAS, V.; TELLO, J.; GAZIVODA, A.; MUGOSA, M.; PERISIC, M.; RAICEVIC, J.;",2020,"STAJNER, N.; OCETE, R.; BOZOVIC, V.; POPOVIC, T.; GARCÍA-ESCUDERO, E.;  GRBIC, M.; MARTÍNEZ-ZAPATER, J. M.; IBÁÑEZ, J.",10.1038/s41598-020-71918-7,
CRNA NEPOZNATA MASLINE,26835,40879,"MARAS, V.; TELLO, J.; GAZIVODA, A.; MUGOSA, M.; PERISIC, M.; RAICEVIC, J.;",2020,"STAJNER, N.; OCETE, R.; BOZOVIC, V.; POPOVIC, T.; GARCÍA-ESCUDERO, E.;  GRBIC, M.; MARTÍNEZ-ZAPATER, J. M.; IBÁÑEZ, J.",10.1038/s41598-020-71918-7,
CRNA TOMBA,26836,40879,"MARAS, V.; TELLO, J.; GAZIVODA, A.; MUGOSA, M.; PERISIC, M.; RAICEVIC, J.;",2020,"STAJNER, N.; OCETE, R.; BOZOVIC, V.; POPOVIC, T.; GARCÍA-ESCUDERO, E.;  GRBIC, M.; MARTÍNEZ-ZAPATER, J. M.; IBÁÑEZ, J.",10.1038/s41598-020-71918-7,
CRNKA CRNA,21049,40875,"ZULJ MIHALJEVIC, M.; MALETIC, E.; PREINER, D.; ZDUNIC, G.; BUBOLA, M.; ZYPRIAN, E.; PEJIC, I.",2020,"Genetic diversity, population structure, and parentage analysis of Croatian grapevine germplasm",10.3390/genes11070737,34
CRVENA KRIVAJA,26837,40879,"MARAS, V.; TELLO, J.; GAZIVODA, A.; MUGOSA, M.; PERISIC, M.; RAICEVIC, J.;",2020,"STAJNER, N.; OCETE, R.; BOZOVIC, V.; POPOVIC, T.; GARCÍA-ESCUDERO, E.;  GRBIC, M.; MARTÍNEZ-ZAPATER, J. M.; IBÁÑEZ, J.",10.1038/s41598-020-71918-7,
CRVENA SLAUBANIC,24194,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
CSABA GYOENGYE,9166,577,ANONYMOUS,2007,Catalogue des variétés et clones de vigne cultivés en France 2ème édition,,
CSABA GYOENGYE,9166,40858,"KARASTAN, O. M.; MULIUKINA, N. A.; PAPINA, O. S.",2018,Verification of grape pedigree by microsatellite analysis,10.3103/S0095452718050031,9
CSABA GYOENGYE,9166,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
CSABA GYOENGYE,9166,40926,"MARGARYAN, K.; MELYAN, G.; RÖCKEL, R.; TÖPFER, R.; MAUL, E.",2021,Genetic diversity of Armenian Grapevine (Vitis vinifera L.) Germplasm: Molecular Characterization and Parentage Analysis,10.3390/biology10121279,24
CSARENCI,16293,40926,"MARGARYAN, K.; MELYAN, G.; RÖCKEL, R.; TÖPFER, R.; MAUL, E.",2021,Genetic diversity of Armenian Grapevine (Vitis vinifera L.) Germplasm: Molecular Characterization and Parentage Analysis,10.3390/biology10121279,24
CSILLAM,14317,40482,"RÖCKEL, F.; MAUL, E.; TÖPFER, R.",2014,BÖLN-Projekt: Weiterentwicklung von Wissenstransfer- und Informationssystemen zur nachhaltigen Nutzung rebengenetischer Ressourcen,,25
CSOMORIKA,3281,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
CUBRICA,12298,40879,"MARAS, V.; TELLO, J.; GAZIVODA, A.; MUGOSA, M.; PERISIC, M.; RAICEVIC, J.;",2020,"STAJNER, N.; OCETE, R.; BOZOVIC, V.; POPOVIC, T.; GARCÍA-ESCUDERO, E.;  GRBIC, M.; MARTÍNEZ-ZAPATER, J. M.; IBÁÑEZ, J.",10.1038/s41598-020-71918-7,
CUNNINGHAM,3294,40482,"RÖCKEL, F.; MAUL, E.; TÖPFER, R.",2014,BÖLN-Projekt: Weiterentwicklung von Wissenstransfer- und Informationssystemen zur nachhaltigen Nutzung rebengenetischer Ressourcen,,25
CYPERNTRAUBE,3305,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
DAHOMEEN,20569,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,19
DAISI,16477,40944,"MAUL, E.; ET AL.",2023,Unravelling kinships and grape (,,24
DALKAUER,3317,684,"MAUL, E.; SCHUMANN, F.; HILL, B.H.E.; DOERNER, F.; BENNEK, H.; LAUCOU, V.; BOURSIQUOT, J.M.; LACOMBE, T.; ZYPRIAN, E.; EIBACH, R.; TOEPFER, R.",2013,Die Kreuzungseltern deutscher Rebenneuzüchtungen im Fokus - Was sagt der genetische Fingerabdruck?,,38
DALMASSO  3-32,3320,40674,"RAIMONDI, S.; CARLOMAGNO, A.; RUFFA, P.; OGLIETTI, S.; NOVELLO, V.; SCHNEIDER, A.",2017,Pedigree reconstruction of wine and table grape crossbreeds created in Italy by Giovanni Dalmasso,10.1016/j.scienta.2017.02.044,22
DALMASSO  3-33,3321,40152,"VARGAS, A.M.; TERESA DE ANDRES, M.; BORREGO, J.; IBANEZ, J.",2009,Pedigrees of fifty table-grape cultivars,,25
DALMASSO  4- 6,3322,40674,"RAIMONDI, S.; CARLOMAGNO, A.; RUFFA, P.; OGLIETTI, S.; NOVELLO, V.; SCHNEIDER, A.",2017,Pedigree reconstruction of wine and table grape crossbreeds created in Italy by Giovanni Dalmasso,10.1016/j.scienta.2017.02.044,22
DALMASSO  5- 1,3326,40674,"RAIMONDI, S.; CARLOMAGNO, A.; RUFFA, P.; OGLIETTI, S.; NOVELLO, V.; SCHNEIDER, A.",2017,Pedigree reconstruction of wine and table grape crossbreeds created in Italy by Giovanni Dalmasso,10.1016/j.scienta.2017.02.044,22
DALMASSO  6- 6,3332,40674,"RAIMONDI, S.; CARLOMAGNO, A.; RUFFA, P.; OGLIETTI, S.; NOVELLO, V.; SCHNEIDER, A.",2017,Pedigree reconstruction of wine and table grape crossbreeds created in Italy by Giovanni Dalmasso,10.1016/j.scienta.2017.02.044,22
DALMASSO  6- 6,3332,40152,"VARGAS, A.M.; TERESA DE ANDRES, M.; BORREGO, J.; IBANEZ, J.",2009,Pedigrees of fifty table-grape cultivars,,25
DALMASSO  6- 9,3334,40674,"RAIMONDI, S.; CARLOMAGNO, A.; RUFFA, P.; OGLIETTI, S.; NOVELLO, V.; SCHNEIDER, A.",2017,Pedigree reconstruction of wine and table grape crossbreeds created in Italy by Giovanni Dalmasso,10.1016/j.scienta.2017.02.044,22
DALMASSO  6-24,3337,40674,"RAIMONDI, S.; CARLOMAGNO, A.; RUFFA, P.; OGLIETTI, S.; NOVELLO, V.; SCHNEIDER, A.",2017,Pedigree reconstruction of wine and table grape crossbreeds created in Italy by Giovanni Dalmasso,10.1016/j.scienta.2017.02.044,22
DALMASSO  8- 1,3347,40674,"RAIMONDI, S.; CARLOMAGNO, A.; RUFFA, P.; OGLIETTI, S.; NOVELLO, V.; SCHNEIDER, A.",2017,Pedigree reconstruction of wine and table grape crossbreeds created in Italy by Giovanni Dalmasso,10.1016/j.scienta.2017.02.044,22
DALMASSO  9-  2,3355,40674,"RAIMONDI, S.; CARLOMAGNO, A.; RUFFA, P.; OGLIETTI, S.; NOVELLO, V.; SCHNEIDER, A.",2017,Pedigree reconstruction of wine and table grape crossbreeds created in Italy by Giovanni Dalmasso,10.1016/j.scienta.2017.02.044,22
DALMASSO 10- 4,3360,40674,"RAIMONDI, S.; CARLOMAGNO, A.; RUFFA, P.; OGLIETTI, S.; NOVELLO, V.; SCHNEIDER, A.",2017,Pedigree reconstruction of wine and table grape crossbreeds created in Italy by Giovanni Dalmasso,10.1016/j.scienta.2017.02.044,22
DALMASSO 10-10,3359,40674,"RAIMONDI, S.; CARLOMAGNO, A.; RUFFA, P.; OGLIETTI, S.; NOVELLO, V.; SCHNEIDER, A.",2017,Pedigree reconstruction of wine and table grape crossbreeds created in Italy by Giovanni Dalmasso,10.1016/j.scienta.2017.02.044,22
DALMASSO 11- 2,3362,40674,"RAIMONDI, S.; CARLOMAGNO, A.; RUFFA, P.; OGLIETTI, S.; NOVELLO, V.; SCHNEIDER, A.",2017,Pedigree reconstruction of wine and table grape crossbreeds created in Italy by Giovanni Dalmasso,10.1016/j.scienta.2017.02.044,22
